id,name,now_cost,position,team,clean_sheets_per_90,threat_rank_type,expected_assists_per_90,expected_assists,points_per_game_rank,goals_scored,penalties_missed,creativity_rank_type,transfers_out,value_form,value_season,bonus,starts_per_90,cost_change_start,expected_goals_conceded,cost_change_start_fall,expected_goals_conceded_per_90,red_cards,threat,selected_rank_type,influence,penalties_saved,ep_next,event_points,creativity,ict_index_rank,saves_per_90,creativity_rank,expected_goals,own_goals,status,now_cost_rank_type,saves,yellow_cards,goals_conceded,expected_goal_involvements_per_90,assists,form_rank_type,ict_index_rank_type,chance_of_playing_next_round,influence_rank,penalties_order,ict_index,form,dreamteam_count,expected_goal_involvements,chance_of_playing_this_round,starts,points_per_game,minutes,form_rank,selected_rank,expected_goals_per_90,threat_rank,ep_this,transfers_in,bps,goals_conceded_per_90,selected_by_percent,influence_rank_type,points_per_game_rank_type,clean_sheets,now_cost_rank,total_points
13,Bukayo Saka,80,MID,Arsenal,0.34,4,0.17,5.97,12,14,1,6,5658739,0.4,25.2,19,1.05,0,39.66,0,1.12,0,1164,6,972.2,0,2,6,1091.8,5,0,8,11.49,0,d,8,0,6,42,0.49,12,50,3,75,8,1,322.8,3,7,17.46,75,37,5.3,3183,103,11,0.32,9,2.6,6134396,678,1.19,25.6,2,6,12,18,202
14,Takehiro Tomiyasu,42,DEF,Arsenal,0.28,115,0.03,0.23,406,0,0,99,224586,0,7.6,0,0.83,-3,8.93,3,1.23,0,55,101,137,0,0,0,86.6,373,0,310,0.24,0,i,168,0,2,11,0.06,1,209,131,0,357,,27.7,0,0,0.47,0,6,1.5,651,538,276,0.03,338,0,89696,173,1.52,0.5,145,145,2,609,32
15,Aaron Ramsdale,48,GKP,Arsenal,0.37,75,0,0.02,71,0,0,80,2122893,1,29.8,9,1,-2,42.31,2,1.11,0,0,7,761.4,0,4.7,6,0,191,2.47,750,0,0,a,11,94,1,43,0,0,4,8,100,29,,76.2,4.6,3,0.02,100,38,3.8,3420,33,40,0,743,5.1,1717985,664,1.13,11.4,8,14,14,283,143
16,Gabriel dos Santos Magalhães,52,DEF,Arsenal,0.37,3,0.02,0.66,74,3,0,63,2469370,0.7,28.1,15,1,2,41.84,-2,1.1,0,401,11,733.8,0,3.3,6,129.7,86,0,244,5.04,0,a,17,0,5,43,0.15,0,20,10,100,37,,126.5,3.4,3,5.7,100,38,3.8,3409,71,30,0.13,87,3.9,2905664,723,1.14,13.4,8,15,14,162,146
17,Nuno Varela Tavares,45,DEF,Arsenal,0,255,0,0,702,0,0,256,1980,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,691,0,686,0,0,u,81,0,0,0,0,0,247,256,0,687,,0,0,0,0,0,0,0,0,636,697,0,670,0,0,0,0,0,256,256,0,390,0
19,Gabriel Martinelli Silva,65,MID,Arsenal,0.45,3,0.23,6.98,10,15,0,14,7632579,0.2,30.5,18,1.1,5,36.16,-5,1.17,0,1300,5,844.2,0,0,0,838.1,7,0,17,9.15,0,i,28,0,3,33,0.53,9,105,5,0,19,3,298.1,1.6,4,16.13,0,34,5.5,2789,224,10,0.3,5,0,7872522,648,1.06,26.3,9,5,14,56,198
20,Pablo Marí Villar,45,DEF,Arsenal,0,251,0,0,683,0,0,253,4185,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,672,0,666,0,0,u,64,0,0,0,0,0,241,253,0,667,,0,0,0,0,0,0,0,0,612,651,0,649,0,162,0,0,0,253,253,0,349,0
22,Lucas Torreira di Pascua,45,MID,Arsenal,0,263,0,0,690,0,0,271,39180,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,679,0,673,0,0,u,209,0,0,0,0,0,234,269,0,674,,0,0,0,0,0,0,0,0,621,467,0,657,0,2811,0,0,0.1,266,280,0,367,0
23,Reiss Nelson,47,MID,Arsenal,0.45,125,0.44,0.99,70,3,0,158,17959,0.2,8.9,5,0,-3,2.16,3,0.96,0,155,205,169.8,0,1,1,99.2,311,0,290,1.09,0,d,190,0,0,3,0.93,3,141,141,75,325,,42.4,0.8,2,2.08,75,0,3.8,202,300,534,0.49,213,1,17506,127,1.34,0,133,31,1,316,42
24,Matt Turner,38,GKP,Arsenal,0,11,0,0,561,0,0,21,228275,0,0,0,0,-2,0,2,0,0,0,25,0,0,0.5,0,0,547,0,522,0,0,a,84,0,0,0,0,0,36,44,100,543,,0,0,0,0,100,0,0,0,422,165,0,485,0.5,240980,0,0,1.4,44,45,0,772,0
25,Fábio Ferreira Vieira,56,MID,Arsenal,0.36,132,0.25,1.39,369,1,0,120,32035,0.1,7.1,2,0.54,-4,5.28,4,0.95,0,123,148,115.2,0,0.7,1,180.1,317,0,191,0.86,0,a,54,0,0,5,0.4,2,172,143,100,369,,41.4,0.4,1,2.25,100,3,1.8,500,360,411,0.15,245,0.9,21196,134,0.9,0.1,152,157,2,102,40
26,William Saliba,49,DEF,Arsenal,0.45,69,0.01,0.32,29,2,0,87,4620329,0,23.9,14,1.01,4,26.86,-4,1,0,114,7,529,0,0,0,100.8,199,0,287,0.91,1,i,34,0,4,25,0.04,1,254,55,0,105,,74.5,0,2,1.23,0,27,4.3,2415,730,23,0.03,254,0,5425985,571,0.93,15.6,35,3,12,252,117
27,Marcus Oliveira Alencar,46,MID,Arsenal,0,315,0,0,518,0,0,247,14818,0,0.2,0,0,-4,0,4,0,0,0,181,0,0,0,0,0.2,749,0,507,0,0,u,202,0,0,0,0,0,287,319,0,748,,0,0,0,0,0,0,1,1,702,485,0,735,0,7000,3,0,0.1,319,239,0,338,1
28,Gabriel Fernando de Jesus,81,FWD,Arsenal,0.39,3,0.13,2.91,15,11,0,6,8366682,0.6,15.4,17,1.05,1,23.15,-1,1.01,0,1282,3,594.2,0,3.5,12,407.3,20,0,80,14.24,0,a,9,0,6,23,0.75,7,6,6,100,78,2,228.3,4.8,2,17.15,100,24,4.8,2064,30,8,0.62,6,5.3,3780822,401,1,28.3,7,5,9,14,125
111,Leandro Trossard,66,MID,Arsenal,0.32,11,0.24,6.02,32,8,0,23,4595357,0.5,23.3,8,1.05,1,30.79,-1,1.24,0,859,18,620,0,1.5,9,687.1,23,0,30,6.37,0,d,25,0,1,38,0.5,13,49,15,75,68,,216.6,3,3,12.39,75,26,4.3,2237,102,55,0.26,22,2.6,5012558,494,1.53,7.2,28,14,8,49,154
130,Jorge Luiz Frello Filho,57,MID,Arsenal,0.38,146,0.04,0.96,233,2,0,97,603430,0.5,13.9,5,1.02,-3,24.41,3,1.03,0,97,47,386.4,0,3.3,3,254.1,203,0,142,1.89,0,a,42,0,4,23,0.12,2,55,103,100,175,,73.9,2.8,1,2.85,100,24,2.5,2127,115,136,0.08,278,3.3,449419,379,0.97,1.9,72,90,9,80,79
313,Oleksandr Zinchenko,50,DEF,Arsenal,0.42,30,0.1,2.39,83,1,0,12,4119808,0.3,19.8,8,1.1,0,26.67,0,1.13,0,190,16,405,0,0,0,387.7,132,0,86,1.32,0,i,28,0,3,28,0.16,2,72,26,0,161,,98.3,1.6,2,3.71,0,26,3.7,2122,219,46,0.06,185,0,3068591,500,1.19,9,60,20,10,204,99
607,Matthew Smith,44,MID,Arsenal,0,247,0,0,669,0,0,257,12653,0,0,0,0,-1,0,1,0,0,0,171,0,0,0.5,0,0,658,0,648,0,0,a,285,0,0,0,0,0,216,255,,653,,0,0,0,0,,0,0,0,591,466,0,629,0.5,14556,0,0,0.1,252,266,0,513,0
630,Ethan Nwaneri,45,MID,Arsenal,0,291,0,0,508,0,0,297,1384,0,0.2,0,0,0,0,0,0,0,0,268,0,0,0,0,0,721,0,715,0,0,i,247,0,0,0,0,0,263,296,0,719,,0,0,0,0,0,0,1,1,670,674,0,704,0,1680,3,0,0,295,230,0,435,1
631,Lino Sousa,40,DEF,Arsenal,0,225,0,0,640,0,0,230,7450,0,0,0,0,0,0,0,0,0,0,174,0,0,0.5,0,0,626,0,608,0,0,a,222,0,0,0,0,0,190,232,,622,,0,0,0,0,,0,0,0,510,470,0,577,0.5,8687,0,0,0.1,233,234,0,712,0
655,Karl Hein,39,GKP,Arsenal,0,24,0,0,580,0,0,34,2093,0,0,0,0,-1,0,1,0,0,0,67,0,0,0.5,0,0,567,0,546,0,0,a,74,0,0,0,0,0,45,53,,563,,0,0,0,0,,0,0,0,445,640,0,510,0.5,2601,0,0,0,53,53,0,753,0
668,Amario Cozier-Duberry,45,MID,Arsenal,0,301,0,0,738,0,0,307,238,0,0,0,0,0,0,0,0,0,0,292,0,0,0.5,0,0,732,0,726,0,0,a,261,0,0,0,0,0,273,306,,730,,0,0,0,0,,0,0,0,681,711,0,715,0.5,502,0,0,0,305,312,0,450,0
685,Nathan Butler-Oyedeji,45,FWD,Arsenal,0,77,0,0,710,0,0,78,699,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,699,0,694,0,0,u,75,0,0,0,0,0,69,79,0,695,,0,0,0,0,0,0,0,0,645,712,0,678,0,735,0,0,0,78,79,0,401,0
710,Jakub Kiwior,40,DEF,Arsenal,0.42,167,0,0.01,76,1,0,167,4336,1.2,6.5,1,1.06,0,6.46,0,1.37,0,4,127,53.6,0,3.3,13,4.1,468,0,462,0.1,0,a,200,0,0,6,0.02,0,6,162,,432,,6.3,4.8,1,0.11,,5,3.7,425,28,343,0.02,455,5.3,32094,111,1.27,0.3,159,16,2,681,26
751,Reuell Walters,40,DEF,Arsenal,0,231,0,0,647,0,0,236,310,0,0,0,0,0,0,0,0,0,0,245,0,0,0.5,0,0,634,0,616,0,0,a,229,0,0,0,0,0,197,238,,629,,0,0,0,0,,0,0,0,519,679,0,585,0.5,569,0,0,0,238,239,0,721,0
767,Mauro Bandeira,45,MID,Arsenal,0,294,0,0,732,0,0,300,4,0,0,0,0,0,0,0,0,0,0,332,0,0,1.9,0,0,725,0,719,0,0,a,250,0,0,0,0,0,265,299,,723,,0,0,0,0,,0,0,0,673,771,0,708,0.5,44,0,0,0,298,306,0,439,0
29,Philippe Coutinho Correia,66,MID,Aston Villa,0.35,101,0.08,0.65,402,1,0,133,1484303,0,4.8,1,0.81,-4,8.11,4,0.94,0,218,39,119.2,0,0,0,152.5,281,0,217,1.37,0,i,24,0,3,9,0.24,0,336,125,0,364,2,48.8,0,0,2.02,0,7,1.6,777,771,115,0.16,167,0,234097,98,1.04,2.9,149,174,3,47,32
31,Emiliano Martínez Romero,50,GKP,Aston Villa,0.32,79,0.01,0.21,73,0,0,2,1032874,0.5,27,15,1.03,0,43.46,0,1.25,0,0,9,813,1,2.2,3,23,167,2.81,411,0,1,a,7,98,7,38,0.01,0,15,6,100,20,,83.5,2.4,3,0.21,100,36,3.8,3139,132,58,0,751,2.4,1063341,678,1.09,6.6,6,15,11,187,135
32,Calum Chambers,42,DEF,Aston Villa,0,161,0.05,0.19,535,0,0,141,27653,0,3.1,0,0.52,-3,5.88,3,1.53,0,8,145,74.4,0,0.2,0,29.8,442,0,398,0.14,0,a,155,0,2,4,0.09,0,117,157,100,408,,11.1,0.2,0,0.33,100,2,0.9,345,372,387,0.04,442,0.2,11323,67,1.04,0.2,153,177,0,592,13
33,Lucas Digne,45,DEF,Aston Villa,0.18,84,0.11,1.9,354,1,0,21,633382,0.2,11.1,4,1.09,-5,25.91,5,1.56,0,92,59,271.4,0,0.5,2,293.3,228,0,122,0.43,1,a,65,0,5,25,0.14,0,98,69,100,251,,65.8,0.8,1,2.33,100,18,1.8,1492,298,173,0.03,284,0.8,352817,234,1.51,1.2,96,128,3,350,50
34,Bertrand Traoré,49,MID,Aston Villa,0.4,154,0.05,0.12,230,2,0,201,23944,0.1,4.1,1,0.4,-1,1.65,1,0.66,0,79,182,82,0,0.5,0,30.7,410,0,396,0.75,0,a,130,0,1,1,0.35,0,168,182,100,405,,19,0.4,0,0.87,100,1,2.5,226,356,486,0.3,305,0.4,8704,57,0.4,0.1,174,87,1,229,20
35,Robin Olsen,39,GKP,Aston Villa,0.32,17,0,0,220,0,0,27,170088,0,2.6,1,0.64,-1,8.56,1,2.75,0,0,24,83.2,0,0,0,0,455,3.54,533,0,0,a,67,11,0,8,0,0,40,31,100,404,,8.2,0,0,0,100,2,2.5,280,432,164,0,496,0,122706,62,2.57,1.4,31,29,1,736,10
36,Morgan Sanson,43,MID,Aston Villa,0,237,0,0,484,0,0,238,48357,0,0.5,0,0,-2,0.4,2,3.6,0,0,128,4.2,0,0,0,0.5,523,0,494,0,0,u,299,0,0,1,0,0,203,236,0,508,,0.4,0,0,0,0,0,1,10,558,368,0,606,0,29851,6,9,0.2,229,214,0,549,2
37,John McGinn,51,MID,Aston Villa,0.33,70,0.11,3.33,214,1,0,74,190897,0.3,17.6,3,1,-4,37.73,4,1.26,0,326,82,375,0,1.8,1,349.2,114,0,100,2.4,0,a,98,0,7,31,0.19,5,103,74,100,189,,105.1,1.6,1,5.73,100,30,2.6,2692,220,253,0.08,111,1.6,71067,354,1.04,0.6,78,84,10,173,90
38,Kortney Hause,44,DEF,Aston Villa,0,245,0,0,665,0,0,247,2935,0,0,0,0,-1,0,1,0,0,0,248,0,0,0,0,0,653,0,643,0,0,u,97,0,0,0,0,0,229,248,0,648,,0,0,0,0,0,0,0,0,578,687,0,622,0,89,0,0,0,248,248,0,487,0
39,Tyrone Mings,47,DEF,Aston Villa,0.34,63,0.03,0.95,81,1,0,97,1363664,0.3,27.7,17,1,2,47.28,-2,1.35,0,121,12,657.2,0,1.5,1,87.7,158,0,308,0.96,1,a,51,0,7,40,0.06,3,77,35,100,55,,87,1.4,4,1.91,100,35,3.7,3150,232,37,0.03,246,1.4,2097342,617,1.14,12.5,13,18,12,307,130
40,Ollie Watkins,73,FWD,Aston Villa,0.37,4,0.08,2.66,18,15,1,5,3125186,0.4,24,25,1.04,-2,46.65,2,1.34,0,1268,6,792,0,1.8,9,408.5,15,0,79,16.15,0,a,15,0,4,40,0.54,8,11,4,100,22,1,247,3.2,3,18.81,100,36,4.7,3129,85,33,0.46,7,3.2,4129586,550,1.15,12.8,4,6,13,30,175
41,Marvelous Nakamba,43,MID,Aston Villa,0,239,0,0,659,0,0,252,31691,0,0,0,0,-2,0,2,0,0,0,158,0,0,0,0,0,647,0,635,0,0,u,304,0,0,0,0,0,205,250,0,642,,0,0,0,0,0,0,0,0,564,438,0,610,0,18713,0,0,0.1,247,262,0,560,0
42,Emiliano Buendía Stati,57,MID,Aston Villa,0.41,31,0.15,3.95,146,5,0,40,260297,0.3,20.5,8,1.01,-3,36.65,3,1.37,0,580,73,438.2,0,2,1,546.3,59,0,49,6.32,0,a,45,0,0,34,0.39,3,94,40,,141,,156.6,1.8,0,10.27,,27,3.1,2404,201,220,0.24,50,1.8,274210,370,1.27,0.7,60,60,11,83,117
43,Matty Cash,46,DEF,Aston Villa,0.2,109,0.05,0.95,274,0,0,46,1788226,0.2,12.4,3,0.99,-4,27.14,4,1.34,0,67,35,298.4,0,0.8,1,178,263,0,195,0.2,0,a,58,0,4,29,0.06,2,99,87,100,224,,54.4,0.8,1,1.15,100,20,2.2,1817,299,106,0.01,324,0.8,406341,311,1.44,3.1,82,101,4,333,57
44,Ezri Konsa Ngoyo,44,DEF,Aston Villa,0.33,102,0.02,0.71,168,0,0,74,136598,0.4,25,6,1,-1,50.67,1,1.37,0,72,65,560.4,0,1.8,2,116.1,196,0,264,1.08,0,a,109,0,6,45,0.05,0,58,53,100,91,,74.9,1.8,0,1.79,100,37,2.9,3322,184,188,0.03,314,1.8,214232,633,1.22,1,26,56,12,502,110
45,Leon Bailey,43,MID,Aston Villa,0.37,33,0.22,4.77,152,4,0,60,2379892,0.5,23.3,6,1.19,-7,35.15,7,1.61,0,532,40,334.2,0,2,2,439.1,83,0,71,5.34,0,a,307,0,4,32,0.46,5,74,60,100,205,,130.1,2,2,10.11,100,26,3,1964,159,117,0.24,55,2,1103647,242,1.47,2.7,84,62,8,569,100
46,Douglas Luiz Soares de Paulo,48,MID,Aston Villa,0.4,88,0.09,2.92,72,6,0,30,174571,1.2,29.6,17,1.02,-2,42.8,2,1.32,1,242,66,661.6,0,5.5,7,655.4,60,0,37,2.79,0,a,171,0,6,35,0.18,7,8,41,100,53,,155.8,5.8,2,5.71,100,33,3.8,2922,14,193,0.09,149,5.8,213403,594,1.08,1,22,32,13,286,142
47,Jacob Ramsey,51,MID,Aston Villa,0.38,51,0.1,2.89,64,6,0,49,387464,1.1,26.5,13,1.06,-4,40.5,4,1.38,0,424,56,607.2,0,5,9,496.7,65,0,59,5.07,1,a,102,0,5,33,0.27,8,9,45,100,72,,152.8,5.8,3,7.96,100,31,3.9,2634,15,160,0.17,80,5.8,352106,470,1.13,1.5,31,28,11,179,135
49,Tim Iroegbunam,45,MID,Aston Villa,0,286,0,0,723,0,0,294,4027,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,714,0,709,0,0,u,239,0,0,0,0,0,257,292,0,710,,0,0,0,0,0,0,0,0,660,645,0,695,0,1334,0,0,0,289,301,0,422,0
50,Diego Carlos Santos Silva,47,DEF,Aston Villa,0,140,0.05,0.11,453,0,0,157,103129,0,0.9,0,0.88,-3,1.92,3,0.84,0,32,129,24.8,0,0.2,0,13.2,463,0,440,0.36,0,a,52,0,0,3,0.21,0,129,161,100,471,,7,0.2,0,0.47,100,2,1.3,205,394,352,0.16,391,0.2,15706,20,1.32,0.2,167,157,0,310,4
51,Anwar El Ghazi,48,MID,Aston Villa,0,321,0,0,755,0,0,324,13417,0,0,0,0,-2,0,2,0,0,0,233,0,0,0,0,0,753,0,748,0,0,u,165,0,0,0,0,0,302,323,0,752,,0,0,0,0,0,0,0,0,717,592,0,741,0,2511,0,0,0,323,325,0,276,0
52,Keinan Davis,54,FWD,Aston Villa,0,89,0,0,772,0,0,89,14028,0,0,0,0,-1,0,1,0,0,0,75,0,0,0,0,0,772,0,772,0,0,u,43,0,0,0,0,0,86,89,0,772,,0,0,0,0,0,0,0,0,761,570,0,771,0,586,0,0,0,89,89,0,127,0
53,Boubacar Kamara,48,MID,Aston Villa,0.15,185,0.05,0.92,360,0,0,147,25542,0.3,9.2,0,1.07,-2,33.05,2,1.68,0,39,167,275.8,0,1,2,123.4,305,0,252,0.15,0,a,170,0,4,30,0.06,1,116,138,100,247,,43.9,1.2,0,1.07,100,21,1.8,1773,252,453,0.01,382,1.2,13468,235,1.52,0.1,104,150,3,284,44
54,Cameron Archer,42,FWD,Aston Villa,0,67,0.02,0.01,478,0,0,65,888873,0,1.4,0,0,-3,0.37,3,0.77,0,6,25,1.8,0,0,0,2.4,507,0,469,0,0,u,91,0,0,1,0.02,0,59,67,0,520,,0.9,0,0,0.01,0,0,1,43,541,147,0,449,0,343635,13,2.09,1.7,66,61,0,615,6
55,Jaden Philogene-Bidace,45,MID,Aston Villa,0,283,0,0,720,0,0,291,387,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,711,0,706,0,0,u,236,0,0,0,0,0,254,289,0,707,,0,0,0,0,0,0,0,0,657,751,0,691,0,0,0,0,0,286,298,0,418,0
56,Frédéric Guilbert,39,DEF,Aston Villa,0,183,0,0,571,0,0,193,110031,0,0,0,0,-1,0,1,0,0,0,90,0,0,0,0,0,558,0,536,0,0,u,241,0,0,0,0,0,147,195,0,554,,0,0,0,0,0,0,0,0,435,252,0,499,0,69713,0,0,0.6,196,196,0,740,0
479,Leander Dendoncker,47,MID,Aston Villa,0.4,161,0.01,0.14,413,0,0,162,20342,0.1,7.9,0,0.9,-3,14.68,3,1.47,0,64,183,143.4,0,0.8,0,96.1,363,0,296,0.72,0,a,184,0,0,14,0.08,0,154,163,100,351,,30.6,0.6,0,0.86,100,9,1.5,897,327,488,0.07,327,0.6,9303,163,1.4,0.1,141,177,4,308,37
525,Ludwig Augustinsson,43,DEF,Aston Villa,0,138,0.01,0.01,549,0,0,170,7394,0,0.5,0,1.18,-2,0.74,2,0.88,0,35,204,5.6,0,0,0,1.9,476,0,471,0.08,0,u,134,0,1,0,0.1,0,222,165,0,500,,4.2,0,0,0.09,0,1,0.7,76,561,557,0.09,387,0,2106,5,0,0,178,184,0,553,2
537,Kaine Kesler Hayden,40,DEF,Aston Villa,0,233,0,0,649,0,0,238,10688,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,636,0,618,0,0,u,231,0,0,0,0,0,199,240,0,631,,0,0,0,0,0,0,0,0,521,538,0,587,0,1637,0,0,0,240,241,0,723,0
538,Ashley Young,43,DEF,Aston Villa,0.4,94,0.03,0.78,151,1,0,36,206399,0.2,20.2,8,1.02,-2,31.81,2,1.41,0,81,73,380.2,0,1.2,0,223.4,221,0,161,0.46,0,a,123,0,7,28,0.05,0,89,66,,180,,68.7,1,1,1.24,,23,3,2031,271,205,0.02,300,1,267878,388,1.24,0.8,70,45,9,536,87
638,Lamare Bogarde,40,DEF,Aston Villa,0,227,0,0,643,0,0,232,5560,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,629,0,611,0,0,u,225,0,0,0,0,0,193,234,0,625,,0,0,0,0,0,0,0,0,514,561,0,580,0,6240,0,0,0,235,236,0,716,0
670,Filip Marschall,40,GKP,Aston Villa,0,51,0,0,623,0,0,60,973,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,609,0,590,0,0,u,56,0,0,0,0,0,69,77,0,605,,0,0,0,0,0,0,0,0,491,713,0,558,0,1138,0,0,0,77,77,0,692,0
672,Kadan Young,45,MID,Aston Villa,0,309,0,0,745,0,0,314,1008,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,741,0,735,0,0,i,270,0,0,0,0,0,279,313,0,740,,0,0,0,0,0,0,0,0,689,701,0,725,0,1385,0,0,0,313,317,0,461,0
694,Alexandre Moreno Lopera,45,DEF,Aston Villa,0.48,41,0.17,2.57,69,0,0,19,224855,0.3,16,5,0.95,0,17.83,0,1.21,0,151,48,254.4,0,0,0,321.1,208,0,112,0.59,0,i,67,0,3,10,0.21,3,74,59,0,266,,72.3,1.4,1,3.16,0,14,3.8,1325,229,129,0.04,216,0,459520,278,0.68,2.1,103,14,7,354,72
707,Viljami Sinisalo,40,GKP,Aston Villa,0,44,0,0,609,0,0,53,1083,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,595,0,576,0,0,a,49,0,0,0,0,0,62,70,,591,,0,0,0,0,,0,0,0,475,650,0,542,0,2107,0,0,0,70,70,0,675,0
711,Jhon Durán,55,FWD,Aston Villa,0,57,0.01,0.02,538,0,0,61,4424,0.1,2,0,0,0,3.88,0,2.77,0,51,82,12.8,0,1,0,13.4,460,0,437,0.59,0,a,41,0,1,4,0.43,0,41,60,,482,,7.4,0.8,0,0.61,,0,0.9,126,311,623,0.42,356,0.8,5964,15,2.86,0,60,69,0,115,11
744,Sil Swinkels,40,DEF,Aston Villa,0,224,0,0,639,0,0,229,1716,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,625,0,607,0,0,a,221,0,0,0,0,0,189,231,,621,,0,0,0,0,,0,0,0,509,616,0,576,0,2902,0,0,0,232,233,0,711,0
